disease.1	disease.2	category	pathway	overlap	nes.1	nes.2	fdr.1	fdr.2	genes.1	ngenes.2
Stomach cancer	Parkinson's disease	Gene Ontology	negative regulation of multicellular organismal process	up-up	1.36	1.47	2.93e-03	7.45e-07	1042	967
Stomach cancer	Parkinson's disease	Gene Ontology	b cell activation	up-up	1.66	2.03	2.13e-03	8.15e-07	205	191
Stomach cancer	Parkinson's disease	Gene Ontology	defense response	up-up	1.84	1.34	5.47e-09	9.10e-07	1293	1215
Stomach cancer	Parkinson's disease	Gene Ontology	response to molecule of bacterial origin	up-up	1.59	1.88	2.24e-03	9.61e-07	291	289
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of cell adhesion	up-up	1.82	1.6	5.47e-09	9.65e-07	582	562
Stomach cancer	Parkinson's disease	Gene Ontology	covalent chromatin modification	up-up	1.65	1.73	5.94e-05	1.76e-06	399	364
Stomach cancer	Parkinson's disease	Gene Ontology	positive regulation of intracellular signal transduction	up-up	1.45	1.49	3.12e-04	2.01e-06	853	792
Stomach cancer	Parkinson's disease	Gene Ontology	cellular response to biotic stimulus	up-up	1.7	1.99	1.14e-03	2.46e-06	196	194
Stomach cancer	Parkinson's disease	Gene Ontology	i kappab kinase nf kappab signaling	up-up	1.67	1.94	8.73e-04	3.94e-06	230	202
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of immune effector process	up-up	1.88	1.79	4.56e-07	4.49e-06	324	313
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of cellular component movement	up-up	1.64	1.47	2.11e-07	5.20e-06	861	801
Stomach cancer	Parkinson's disease	Gene Ontology	epidermis development	up-up	1.4	1.84	2.39e-02	5.40e-06	311	274
Stomach cancer	Parkinson's disease	Gene Ontology	response to biotic stimulus	up-up	1.84	1.36	5.47e-09	5.42e-06	1160	1088
Stomach cancer	Parkinson's disease	Gene Ontology	skeletal system development	up-up	1.76	1.67	1.28e-06	5.58e-06	450	419
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of immune response	up-up	2.02	1.47	5.47e-09	5.65e-06	796	772
Stomach cancer	Parkinson's disease	Gene Ontology	positive regulation of interleukin 6 production	up-up	1.58	2.29	4.11e-02	8.50e-06	79	76
Stomach cancer	Parkinson's disease	Gene Ontology	cell motility	up-up	1.62	1.3	5.47e-09	8.91e-06	1363	1242
Stomach cancer	Parkinson's disease	Gene Ontology	embryonic organ development	up-up	1.4	1.7	2.13e-02	1.12e-05	378	347
Stomach cancer	Parkinson's disease	Gene Ontology	positive regulation of multicellular organismal process	up-up	1.44	1.3	1.50e-05	1.12e-05	1495	1410
Stomach cancer	Parkinson's disease	Gene Ontology	positive regulation of cytokine production	up-up	2.05	1.68	5.47e-09	1.15e-05	379	364
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of t cell activation	up-up	1.74	1.83	1.25e-04	1.21e-05	268	256
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of adaptive immune response	up-up	1.94	2.05	8.88e-05	1.26e-05	136	129
Stomach cancer	Parkinson's disease	Gene Ontology	positive regulation of vasculature development	up-up	1.62	1.97	8.07e-03	1.37e-05	162	158
Stomach cancer	Parkinson's disease	Gene Ontology	phagocytosis	up-up	1.78	1.83	1.86e-04	1.38e-05	214	214
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of lymphocyte differentiation	up-up	1.53	2	2.28e-02	1.61e-05	147	136
Stomach cancer	Parkinson's disease	Gene Ontology	transcription corepressor activity	up-up	1.47	1.87	3.46e-02	1.67e-05	206	189
Stomach cancer	Parkinson's disease	Gene Ontology	positive regulation of developmental process	up-up	1.42	1.32	7.12e-05	1.81e-05	1175	1090
Stomach cancer	Parkinson's disease	Gene Ontology	reproductive system development	up-up	1.42	1.66	1.45e-02	1.81e-05	376	361
Stomach cancer	Parkinson's disease	Gene Ontology	positive regulation of cell activation	up-up	1.88	1.76	1.36e-06	1.85e-05	273	263
Stomach cancer	Parkinson's disease	Gene Ontology	positive regulation of immune system process	up-up	1.89	1.44	5.47e-09	1.94e-05	878	841
Stomach cancer	Parkinson's disease	Gene Ontology	embryonic morphogenesis	up-up	1.5	1.61	3.00e-03	2.01e-05	512	462
Stomach cancer	Parkinson's disease	Gene Ontology	extracellular matrix	up-up	1.86	1.62	1.15e-08	2.13e-05	457	412
Stomach cancer	Parkinson's disease	Gene Ontology	cell surface	up-up	1.37	1.48	1.27e-02	2.25e-05	694	665
Stomach cancer	Parkinson's disease	Gene Ontology	positive regulation of cell population proliferation	up-up	1.74	1.46	5.47e-09	2.25e-05	760	732
Stomach cancer	Parkinson's disease	Gene Ontology	chromosome organization	up-up	2.34	1.41	5.47e-09	2.42e-05	983	892
Stomach cancer	Parkinson's disease	Gene Ontology	leukocyte proliferation	up-up	1.57	1.79	4.85e-03	3.01e-05	250	246
Stomach cancer	Parkinson's disease	Gene Ontology	leukocyte migration	up-up	1.76	1.65	6.73e-06	3.06e-05	371	373
Stomach cancer	Parkinson's disease	Gene Ontology	negative regulation of developmental process	up-up	1.28	1.44	3.25e-02	3.69e-05	811	741
Stomach cancer	Parkinson's disease	Gene Ontology	muscle structure development	up-up	1.31	1.56	4.45e-02	4.01e-05	546	504
Stomach cancer	Parkinson's disease	Gene Ontology	collagen metabolic process	up-up	2.03	2.09	3.15e-05	4.36e-05	94	93
Stomach cancer	Parkinson's disease	Gene Ontology	negative regulation of multi organism process	up-up	2	1.85	3.37e-06	5.18e-05	174	173
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of leukocyte proliferation	up-up	1.66	1.86	2.38e-03	5.26e-05	189	183
Stomach cancer	Parkinson's disease	Gene Ontology	tumor necrosis factor superfamily cytokine production	up-up	1.58	1.94	2.04e-02	5.26e-05	126	124
Stomach cancer	Parkinson's disease	Gene Ontology	negative regulation of lymphocyte activation	up-up	1.94	2.01	9.50e-05	5.31e-05	120	120
Stomach cancer	Parkinson's disease	Gene Ontology	immune effector process	up-up	2.07	1.41	5.47e-09	5.37e-05	940	922
Stomach cancer	Parkinson's disease	Gene Ontology	cell cell adhesion	up-up	1.43	1.48	2.56e-03	5.81e-05	698	632
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of leukocyte mediated immunity	up-up	1.78	1.86	4.18e-04	6.08e-05	169	161
Stomach cancer	Parkinson's disease	Gene Ontology	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	up-up	1.72	1.79	4.82e-04	6.93e-05	217	205
Stomach cancer	Parkinson's disease	Gene Ontology	positive regulation of i kappab kinase nf kappab signaling	up-up	1.54	1.94	2.78e-02	7.73e-05	163	143
Stomach cancer	Parkinson's disease	Gene Ontology	transcription factor complex	up-up	1.49	1.68	6.42e-03	8.59e-05	309	298
Stomach cancer	Parkinson's disease	Gene Ontology	collagen containing extracellular matrix	up-up	1.92	1.66	2.91e-08	9.15e-05	353	327
Stomach cancer	Parkinson's disease	Gene Ontology	cytokine receptor binding	up-up	1.57	1.73	7.09e-03	9.62e-05	215	218
Stomach cancer	Parkinson's disease	Gene Ontology	myeloid cell differentiation	up-up	1.59	1.65	9.44e-04	1.00e-04	348	329
Stomach cancer	Parkinson's disease	Gene Ontology	transcription factor binding	up-up	1.56	1.48	9.02e-05	1.02e-04	566	545
Stomach cancer	Parkinson's disease	Gene Ontology	in utero embryonic development	up-up	1.66	1.71	2.62e-04	1.19e-04	329	299
Stomach cancer	Parkinson's disease	Gene Ontology	response to cytokine	up-up	2	1.35	5.47e-09	1.40e-04	958	971
Stomach cancer	Parkinson's disease	Gene Ontology	cytokine mediated signaling pathway	up-up	2.06	1.45	5.47e-09	1.51e-04	621	635
Stomach cancer	Parkinson's disease	Gene Ontology	embryo development ending in birth or egg hatching	up-up	1.7	1.49	1.29e-06	1.56e-04	565	506
Stomach cancer	Parkinson's disease	Gene Ontology	response to lipid	up-up	1.36	1.4	9.23e-03	1.69e-04	795	782
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of lymphocyte mediated immunity	up-up	1.62	1.94	1.16e-02	1.71e-04	123	115
Stomach cancer	Parkinson's disease	Gene Ontology	skin development	up-up	1.61	1.7	1.63e-03	2.55e-04	265	237
Stomach cancer	Parkinson's disease	Gene Ontology	positive regulation of leukocyte cell cell adhesion	up-up	1.89	1.77	4.38e-05	2.64e-04	187	183
Stomach cancer	Parkinson's disease	Gene Ontology	locomotion	up-up	1.54	1.21	1.25e-08	2.73e-04	1558	1404
Stomach cancer	Parkinson's disease	Gene Ontology	peptidyl tyrosine modification	up-up	1.4	1.6	2.74e-02	2.83e-04	316	308
Stomach cancer	Parkinson's disease	Gene Ontology	positive regulation of immune response	up-up	2.01	1.42	5.47e-09	2.88e-04	627	607
Stomach cancer	Parkinson's disease	Gene Ontology	epithelium development	up-up	1.56	1.32	1.96e-07	2.90e-04	1030	937
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of chromatin organization	up-up	1.59	1.83	1.09e-02	3.08e-04	167	148
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of intracellular signal transduction	up-up	1.39	1.24	6.94e-05	3.16e-04	1532	1398
Stomach cancer	Parkinson's disease	Gene Ontology	pattern recognition receptor signaling pathway	up-up	1.59	1.81	1.44e-02	3.22e-04	163	154
Stomach cancer	Parkinson's disease	Gene Ontology	chromatin organization involved in regulation of transcription	up-up	1.92	1.97	8.19e-04	3.24e-04	86	81
Stomach cancer	Parkinson's disease	Gene Ontology	cell substrate adhesion	up-up	1.64	1.63	5.21e-04	3.28e-04	300	283
Stomach cancer	Parkinson's disease	Gene Ontology	defense response to other organism	up-up	2.05	1.38	5.47e-09	3.43e-04	855	804
Stomach cancer	Parkinson's disease	Gene Ontology	tissue remodeling	up-up	1.74	1.77	1.45e-03	3.97e-04	145	145
Stomach cancer	Parkinson's disease	Gene Ontology	negative regulation of cell activation	up-up	1.92	1.84	2.10e-05	4.05e-04	162	159
Stomach cancer	Parkinson's disease	Gene Ontology	lymphocyte mediated immunity	up-up	1.56	1.7	1.18e-02	4.22e-04	208	199
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of inflammatory response	up-up	1.74	1.66	6.43e-05	4.44e-04	282	256
Stomach cancer	Parkinson's disease	Gene Ontology	endothelium development	up-up	1.62	1.84	1.86e-02	6.89e-04	105	105
Stomach cancer	Parkinson's disease	Gene Ontology	negative regulation of gene expression epigenetic	up-up	1.88	1.94	5.58e-04	6.93e-04	92	87
Stomach cancer	Parkinson's disease	Gene Ontology	lymphocyte activation involved in immune response	up-up	1.76	1.79	6.40e-04	7.45e-04	144	133
Stomach cancer	Parkinson's disease	Gene Ontology	negative regulation of cell adhesion	up-up	1.83	1.61	2.03e-05	7.46e-04	233	229
Stomach cancer	Parkinson's disease	Gene Ontology	myeloid leukocyte differentiation	up-up	1.55	1.71	1.27e-02	7.53e-04	181	168
Stomach cancer	Parkinson's disease	Gene Ontology	positive regulation of hemopoiesis	up-up	1.57	1.75	1.69e-02	8.00e-04	157	156
Stomach cancer	Parkinson's disease	Gene Ontology	cell chemotaxis	up-up	1.69	1.63	3.86e-04	8.43e-04	244	244
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of cell cell adhesion	up-up	1.58	1.53	8.57e-04	8.77e-04	349	332
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of phagocytosis	up-up	1.84	1.98	2.55e-03	1.03e-03	77	79
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of b cell activation	up-up	1.79	1.86	3.25e-03	1.09e-03	102	94
Stomach cancer	Parkinson's disease	Gene Ontology	cellular response to vascular endothelial growth factor stimulus	up-up	1.77	2.11	1.21e-02	1.10e-03	50	46
Stomach cancer	Parkinson's disease	Gene Ontology	interferon gamma mediated signaling pathway	up-up	1.79	1.97	1.31e-02	1.25e-03	65	66
Stomach cancer	Parkinson's disease	Gene Ontology	renal system development	up-up	1.4	1.6	3.44e-02	1.29e-03	263	247
Stomach cancer	Parkinson's disease	Gene Ontology	positive regulation of tumor necrosis factor superfamily cytokine production	up-up	1.72	1.96	2.13e-02	1.41e-03	71	73
Stomach cancer	Parkinson's disease	Gene Ontology	leukocyte apoptotic process	up-up	1.6	1.86	2.98e-02	1.41e-03	89	89
Stomach cancer	Parkinson's disease	Gene Ontology	positive regulation of cell adhesion	up-up	1.68	1.51	1.02e-04	1.52e-03	345	333
Stomach cancer	Parkinson's disease	Gene Ontology	positive regulation of response to cytokine stimulus	up-up	1.98	2.05	1.36e-03	1.54e-03	44	41
Stomach cancer	Parkinson's disease	Gene Ontology	cytokine metabolic process	up-up	1.6	1.84	2.48e-02	1.59e-03	104	100
Stomach cancer	Parkinson's disease	Gene Ontology	wound healing	up-up	1.77	1.43	5.15e-07	1.61e-03	469	461
Stomach cancer	Parkinson's disease	Gene Ontology	cytokine secretion	up-up	1.6	1.67	8.42e-03	1.63e-03	183	174
Stomach cancer	Parkinson's disease	Gene Ontology	ossification	up-up	1.7	1.51	6.76e-05	1.63e-03	347	320
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of alpha beta t cell activation	up-up	1.55	1.95	4.83e-02	1.67e-03	75	71
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of extrinsic apoptotic signaling pathway	up-up	1.71	1.73	4.29e-03	1.67e-03	131	130
Stomach cancer	Parkinson's disease	Gene Ontology	positive regulation of adaptive immune response	up-up	1.97	1.86	2.68e-04	1.72e-03	90	83
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of endothelial cell migration	up-up	1.72	1.72	3.75e-03	1.77e-03	139	133
Stomach cancer	Parkinson's disease	Gene Ontology	placenta development	up-up	1.62	1.74	1.32e-02	1.79e-03	135	132
Stomach cancer	Parkinson's disease	Gene Ontology	histone methyltransferase complex	up-up	1.92	1.93	1.14e-03	1.96e-03	68	66
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of cell death	up-up	1.49	1.2	6.38e-07	2.00e-03	1368	1311
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of response to external stimulus	up-up	1.91	1.3	5.47e-09	2.12e-03	900	844
Stomach cancer	Parkinson's disease	Gene Ontology	positive regulation of cell differentiation	up-up	1.36	1.3	7.74e-03	2.20e-03	842	792
Stomach cancer	Parkinson's disease	Gene Ontology	innate immune response	up-up	2.11	1.33	5.47e-09	2.24e-03	703	671
Stomach cancer	Parkinson's disease	Gene Ontology	negative regulation of cytokine production	up-up	1.51	1.59	1.89e-02	2.24e-03	224	220
Stomach cancer	Parkinson's disease	Gene Ontology	intrinsic apoptotic signaling pathway in response to dna damage	up-up	1.82	1.84	2.88e-03	2.36e-03	88	87
Stomach cancer	Parkinson's disease	Gene Ontology	t cell proliferation	up-up	1.75	1.68	8.19e-04	2.38e-03	160	154
Stomach cancer	Parkinson's disease	Gene Ontology	myeloid leukocyte activation	up-up	2.08	1.37	5.47e-09	2.54e-03	523	528
Stomach cancer	Parkinson's disease	Gene Ontology	extracellular matrix disassembly	up-up	2.01	1.9	6.58e-04	2.54e-03	65	64
Stomach cancer	Parkinson's disease	Gene Ontology	dna packaging complex	up-up	1.73	1.94	1.89e-02	2.72e-03	67	65
Stomach cancer	Parkinson's disease	Gene Ontology	myeloid leukocyte migration	up-up	1.75	1.62	8.76e-04	2.79e-03	173	175
Stomach cancer	Parkinson's disease	Gene Ontology	negative regulation of leukocyte cell cell adhesion	up-up	1.58	1.78	3.30e-02	2.81e-03	98	99
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of response to cytokine stimulus	up-up	2	1.71	1.26e-05	2.95e-03	142	138
Stomach cancer	Parkinson's disease	Gene Ontology	endothelial cell migration	up-up	1.8	1.6	2.19e-04	2.96e-03	178	173
Stomach cancer	Parkinson's disease	Gene Ontology	positive regulation of nik nf kappab signaling	up-up	1.77	1.9	1.32e-02	2.96e-03	67	62
Stomach cancer	Parkinson's disease	Gene Ontology	secretory granule membrane	up-up	1.42	1.59	3.33e-02	3.00e-03	238	223
Stomach cancer	Parkinson's disease	Gene Ontology	protein dna complex	up-up	2.05	1.69	4.12e-06	3.08e-03	140	143
Stomach cancer	Parkinson's disease	Gene Ontology	homeostasis of number of cells	up-up	1.56	1.6	1.45e-02	3.24e-03	209	204
Stomach cancer	Parkinson's disease	Gene Ontology	t cell activation involved in immune response	up-up	1.72	1.86	1.15e-02	3.27e-03	82	79
Stomach cancer	Parkinson's disease	Gene Ontology	histone binding	up-up	2.1	1.67	2.39e-07	3.43e-03	162	150
Stomach cancer	Parkinson's disease	Gene Ontology	leukocyte mediated immunity	up-up	1.97	1.33	5.47e-09	3.53e-03	629	621
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of syncytium formation by plasma membrane fusion	up-up	1.73	2.07	3.27e-02	3.53e-03	29	27
Stomach cancer	Parkinson's disease	Gene Ontology	negative regulation of cell population proliferation	up-up	1.44	1.36	3.35e-03	3.69e-03	594	579
Stomach cancer	Parkinson's disease	Gene Ontology	positive regulation of cell cell adhesion	up-up	1.75	1.55	2.46e-04	3.84e-03	223	217
Stomach cancer	Parkinson's disease	Gene Ontology	positive regulation of inflammatory response	up-up	2.04	1.74	1.27e-05	3.84e-03	116	112
Stomach cancer	Parkinson's disease	Gene Ontology	negative regulation of extrinsic apoptotic signaling pathway	up-up	1.6	1.83	3.14e-02	4.04e-03	90	85
Stomach cancer	Parkinson's disease	Gene Ontology	negative regulation of immune effector process	up-up	2.02	1.74	1.15e-04	4.06e-03	97	99
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of response to stress	up-up	1.99	1.17	5.47e-09	4.27e-03	1238	1169
Stomach cancer	Parkinson's disease	Gene Ontology	integrin mediated signaling pathway	up-up	1.94	1.83	1.40e-04	4.29e-03	94	90
Stomach cancer	Parkinson's disease	Gene Ontology	skeletal system morphogenesis	up-up	1.62	1.59	5.07e-03	4.35e-03	205	191
Stomach cancer	Parkinson's disease	Gene Ontology	blood vessel endothelial cell migration	up-up	1.83	1.7	1.60e-03	4.37e-03	104	101
Stomach cancer	Parkinson's disease	Gene Ontology	g0 to g1 transition	up-up	1.79	1.99	1.20e-02	4.37e-03	37	35
Stomach cancer	Parkinson's disease	Gene Ontology	response to wounding	up-up	1.67	1.34	2.22e-06	4.68e-03	567	557
Stomach cancer	Parkinson's disease	Gene Ontology	activation of immune response	up-up	1.92	1.38	5.47e-09	4.77e-03	488	473
Stomach cancer	Parkinson's disease	Gene Ontology	cellular response to lipid	up-up	1.38	1.37	1.67e-02	5.03e-03	511	508
Stomach cancer	Parkinson's disease	Gene Ontology	negative regulation of immune response	up-up	2.2	1.73	9.94e-08	5.14e-03	122	120
Stomach cancer	Parkinson's disease	Gene Ontology	positive regulation of immune effector process	up-up	1.68	1.58	3.09e-03	5.18e-03	175	175
Stomach cancer	Parkinson's disease	Gene Ontology	interleukin 1 beta production	up-up	1.92	1.83	1.78e-03	5.34e-03	71	67
Stomach cancer	Parkinson's disease	Gene Ontology	reproduction	up-up	1.47	1.22	2.17e-05	5.55e-03	1198	1024
Stomach cancer	Parkinson's disease	Gene Ontology	apoptotic cell clearance	up-up	1.63	1.99	4.75e-02	5.68e-03	39	36
Stomach cancer	Parkinson's disease	Gene Ontology	granulocyte migration	up-up	1.74	1.72	5.15e-03	5.72e-03	117	119
Stomach cancer	Parkinson's disease	Gene Ontology	neutrophil migration	up-up	1.88	1.74	1.09e-03	5.75e-03	96	97
Stomach cancer	Parkinson's disease	Gene Ontology	interleukin 12 production	up-up	1.66	1.85	4.75e-02	6.35e-03	49	50
Stomach cancer	Parkinson's disease	Gene Ontology	nuclear matrix	up-up	2.08	1.71	5.22e-05	7.24e-03	88	89
Stomach cancer	Parkinson's disease	Gene Ontology	negative regulation of response to biotic stimulus	up-up	2.11	1.82	1.10e-05	7.43e-03	73	72
Stomach cancer	Parkinson's disease	Gene Ontology	chromatin dna binding	up-up	1.59	1.74	3.05e-02	7.45e-03	85	87
Stomach cancer	Parkinson's disease	Gene Ontology	interleukin 1 production	up-up	1.88	1.81	1.46e-03	7.50e-03	82	75
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of defense response	up-up	2.04	1.33	5.47e-09	7.74e-03	622	577
Stomach cancer	Parkinson's disease	Gene Ontology	signaling receptor binding	up-up	1.38	1.15	4.04e-04	7.74e-03	1251	1183
