disease.1	disease.2	category	pathway	overlap	nes.1	nes.2	fdr.1	fdr.2	genes.1	ngenes.2
Liver cancer	Alzheimer's disease	HallMark	myc targets v2	up-down	2.02	-1.57	1.69e-04	1.99e-02	50	52
Liver cancer	Alzheimer's disease	Gene Ontology	adaptive immune response	down-up	-2.14	2.36	6.69e-09	5.63e-09	291	320
Liver cancer	Alzheimer's disease	Gene Ontology	alpha beta t cell activation	down-up	-1.82	2.49	2.55e-03	5.63e-09	98	106
Liver cancer	Alzheimer's disease	Gene Ontology	biological adhesion	down-up	-1.6	1.92	6.69e-09	5.63e-09	997	1084
Liver cancer	Alzheimer's disease	Gene Ontology	blood vessel morphogenesis	down-up	-1.37	2.36	3.49e-03	5.63e-09	481	510
Liver cancer	Alzheimer's disease	Gene Ontology	cardiovascular system development	down-up	-1.34	2.32	9.27e-03	5.63e-09	569	601
Liver cancer	Alzheimer's disease	Gene Ontology	cell activation	down-up	-1.24	1.77	2.16e-03	5.63e-09	1008	1094
Liver cancer	Alzheimer's disease	Gene Ontology	cell cell adhesion	down-up	-1.46	1.87	1.49e-04	5.63e-09	577	633
Liver cancer	Alzheimer's disease	Gene Ontology	cell motility	down-up	-1.35	1.77	3.38e-05	5.63e-09	1170	1245
Liver cancer	Alzheimer's disease	Gene Ontology	cell surface	down-up	-1.92	2.11	6.69e-09	5.63e-09	610	667
Liver cancer	Alzheimer's disease	Gene Ontology	circulatory system development	down-up	-1.25	2.15	7.02e-03	5.63e-09	835	883
Liver cancer	Alzheimer's disease	Gene Ontology	collagen containing extracellular matrix	down-up	-2.12	2.59	6.69e-09	5.63e-09	306	327
Liver cancer	Alzheimer's disease	Gene Ontology	cytokine production	down-up	-1.31	2.04	1.12e-02	5.63e-09	564	607
Liver cancer	Alzheimer's disease	Gene Ontology	defense response	down-up	-1.55	1.66	6.69e-09	5.63e-09	1116	1216
Liver cancer	Alzheimer's disease	Gene Ontology	external side of plasma membrane	down-up	-2.15	2.31	8.76e-09	5.63e-09	238	258
Liver cancer	Alzheimer's disease	Gene Ontology	extracellular matrix	down-up	-2.09	2.67	6.69e-09	5.63e-09	386	412
Liver cancer	Alzheimer's disease	Gene Ontology	extracellular matrix structural constituent	down-up	-2	2.49	5.83e-05	5.63e-09	131	133
Liver cancer	Alzheimer's disease	Gene Ontology	extracellular structure organization	down-up	-1.33	2.51	4.43e-02	5.63e-09	292	310
Liver cancer	Alzheimer's disease	Gene Ontology	immune receptor activity	down-up	-2.58	2.8	6.69e-09	5.63e-09	92	104
Liver cancer	Alzheimer's disease	Gene Ontology	inflammatory response	down-up	-1.84	2.04	6.69e-09	5.63e-09	527	567
Liver cancer	Alzheimer's disease	Gene Ontology	intrinsic component of plasma membrane	down-up	-2.3	1.56	6.69e-09	5.63e-09	1202	1295
Liver cancer	Alzheimer's disease	Gene Ontology	leukocyte cell cell adhesion	down-up	-1.64	2.21	2.46e-04	5.63e-09	255	281
Liver cancer	Alzheimer's disease	Gene Ontology	leukocyte differentiation	down-up	-1.27	2.14	4.97e-02	5.63e-09	393	416
Liver cancer	Alzheimer's disease	Gene Ontology	leukocyte migration	down-up	-1.52	2.09	8.72e-04	5.63e-09	344	373
Liver cancer	Alzheimer's disease	Gene Ontology	leukocyte proliferation	down-up	-1.69	2.21	5.95e-04	5.63e-09	221	246
Liver cancer	Alzheimer's disease	Gene Ontology	locomotion	down-up	-1.35	1.65	1.59e-05	5.63e-09	1322	1407
Liver cancer	Alzheimer's disease	Gene Ontology	lymphocyte activation	down-up	-1.34	2.09	9.34e-03	5.63e-09	488	529
Liver cancer	Alzheimer's disease	Gene Ontology	lymphocyte differentiation	down-up	-1.43	2.24	7.25e-03	5.63e-09	264	283
Liver cancer	Alzheimer's disease	Gene Ontology	molecular transducer activity	down-up	-2.55	2.28	6.69e-09	5.63e-09	793	853
Liver cancer	Alzheimer's disease	Gene Ontology	negative regulation of developmental process	down-up	-1.27	1.78	6.72e-03	5.63e-09	705	741
Liver cancer	Alzheimer's disease	Gene Ontology	negative regulation of immune system process	down-up	-1.31	2.04	3.23e-02	5.63e-09	323	357
Liver cancer	Alzheimer's disease	Gene Ontology	negative regulation of multicellular organismal process	down-up	-1.52	1.8	8.04e-08	5.63e-09	916	967
Liver cancer	Alzheimer's disease	Gene Ontology	positive regulation of developmental process	down-up	-1.19	1.66	1.13e-02	5.63e-09	1028	1092
Liver cancer	Alzheimer's disease	Gene Ontology	positive regulation of immune system process	down-up	-1.43	1.71	6.72e-05	5.63e-09	772	843
Liver cancer	Alzheimer's disease	Gene Ontology	positive regulation of multicellular organismal process	down-up	-1.39	1.51	1.43e-06	5.63e-09	1319	1412
Liver cancer	Alzheimer's disease	Gene Ontology	positive regulation of vasculature development	down-up	-1.59	2.44	8.10e-03	5.63e-09	153	158
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of cell activation	down-up	-1.53	2.11	2.41e-04	5.63e-09	391	432
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of cell adhesion	down-up	-1.35	1.83	3.01e-03	5.63e-09	517	563
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of cell population proliferation	down-up	-1.21	1.89	8.39e-03	5.63e-09	1211	1310
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of immune system process	down-up	-1.32	1.83	1.42e-04	5.63e-09	1082	1185
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of leukocyte proliferation	down-up	-1.71	2.38	1.41e-03	5.63e-09	164	183
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of lymphocyte activation	down-up	-1.39	2.09	1.31e-02	5.63e-09	306	337
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of vasculature development	down-up	-1.59	2.18	5.06e-04	5.63e-09	266	274
Liver cancer	Alzheimer's disease	Gene Ontology	response to bacterium	down-up	-1.74	2.17	6.80e-07	5.63e-09	430	459
Liver cancer	Alzheimer's disease	Gene Ontology	response to biotic stimulus	down-up	-1.33	1.63	2.01e-04	5.63e-09	998	1089
Liver cancer	Alzheimer's disease	Gene Ontology	response to lipid	down-up	-1.53	1.72	1.96e-06	5.63e-09	735	784
Liver cancer	Alzheimer's disease	Gene Ontology	response to molecule of bacterial origin	down-up	-1.8	2.11	1.36e-05	5.63e-09	272	289
Liver cancer	Alzheimer's disease	Gene Ontology	response to wounding	down-up	-1.56	1.93	1.66e-05	5.63e-09	511	557
Liver cancer	Alzheimer's disease	Gene Ontology	tube development	down-up	-1.35	2.35	1.36e-03	5.63e-09	805	858
Liver cancer	Alzheimer's disease	Gene Ontology	tube morphogenesis	down-up	-1.29	2.34	9.67e-03	5.63e-09	656	694
Liver cancer	Alzheimer's disease	Gene Ontology	t cell activation	down-up	-1.37	2.18	1.62e-02	5.63e-09	340	373
Liver cancer	Alzheimer's disease	Gene Ontology	wound healing	down-up	-1.44	2.02	2.21e-03	5.63e-09	421	461
Liver cancer	Alzheimer's disease	Gene Ontology	positive regulation of cell adhesion	down-up	-1.48	2	2.69e-03	8.21e-09	306	333
Liver cancer	Alzheimer's disease	Gene Ontology	cytokine receptor activity	down-up	-2.56	2.6	3.19e-08	1.33e-08	78	84
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of cell cell adhesion	down-up	-1.64	1.96	7.44e-05	2.37e-08	304	332
Liver cancer	Alzheimer's disease	Gene Ontology	defense response to other organism	down-up	-1.23	1.62	2.74e-02	2.75e-08	731	805
Liver cancer	Alzheimer's disease	Gene Ontology	humoral immune response	down-up	-2.29	2.19	9.64e-09	4.22e-08	165	194
Liver cancer	Alzheimer's disease	Gene Ontology	cytokine binding	down-up	-1.85	2.4	1.98e-03	5.18e-08	100	111
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of immune response	down-up	-1.43	1.62	1.64e-04	6.55e-08	698	775
Liver cancer	Alzheimer's disease	Gene Ontology	positive regulation of cell activation	down-up	-1.53	2.06	4.62e-03	7.28e-08	235	263
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of immune effector process	down-up	-1.82	1.98	3.15e-06	7.72e-08	286	314
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of t cell activation	down-up	-1.49	2.07	1.03e-02	9.03e-08	230	256
Liver cancer	Alzheimer's disease	Gene Ontology	t cell proliferation	down-up	-1.7	2.21	3.22e-03	1.66e-07	139	154
Liver cancer	Alzheimer's disease	Gene Ontology	positive regulation of intracellular signal transduction	down-up	-1.25	1.6	8.49e-03	1.67e-07	742	794
Liver cancer	Alzheimer's disease	Gene Ontology	receptor complex	down-up	-2.07	1.93	6.69e-09	1.67e-07	301	323
Liver cancer	Alzheimer's disease	Gene Ontology	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	down-up	-1.96	2.02	6.85e-06	3.03e-07	192	206
Liver cancer	Alzheimer's disease	Gene Ontology	cytokine activity	down-up	-1.77	2.14	1.04e-03	6.02e-07	148	162
Liver cancer	Alzheimer's disease	Gene Ontology	g protein coupled receptor activity	down-up	-2.45	1.86	6.69e-09	7.50e-07	323	345
Liver cancer	Alzheimer's disease	Gene Ontology	side of membrane	down-up	-1.67	1.8	6.13e-06	7.99e-07	376	407
Liver cancer	Alzheimer's disease	Gene Ontology	positive regulation of leukocyte cell cell adhesion	down-up	-1.54	2.08	1.41e-02	9.19e-07	165	183
Liver cancer	Alzheimer's disease	Gene Ontology	defense response to bacterium	down-up	-1.45	2.11	3.50e-02	1.51e-06	144	157
Liver cancer	Alzheimer's disease	Gene Ontology	positive regulation of receptor signaling pathway via stat	down-up	-1.82	2.33	4.42e-03	1.52e-06	72	75
Liver cancer	Alzheimer's disease	Gene Ontology	negative regulation of lymphocyte activation	down-up	-1.56	2.23	3.03e-02	1.62e-06	103	120
Liver cancer	Alzheimer's disease	Gene Ontology	negative regulation of cell activation	down-up	-1.74	2.13	2.82e-03	1.69e-06	140	159
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of cellular component movement	down-up	-1.22	1.54	3.32e-02	2.19e-06	754	803
Liver cancer	Alzheimer's disease	Gene Ontology	positive regulation of cell cell adhesion	down-up	-1.67	1.96	8.72e-04	2.54e-06	198	217
Liver cancer	Alzheimer's disease	Gene Ontology	cytokine receptor binding	down-up	-1.47	1.9	1.04e-02	4.02e-06	196	219
Liver cancer	Alzheimer's disease	Gene Ontology	receptor regulator activity	down-up	-1.43	1.73	3.72e-03	4.43e-06	339	364
Liver cancer	Alzheimer's disease	Gene Ontology	signaling receptor binding	down-up	-1.23	1.4	3.95e-03	5.03e-06	1096	1185
Liver cancer	Alzheimer's disease	Gene Ontology	positive regulation of phosphatidylinositol 3 kinase signaling	down-up	-1.69	2.31	1.83e-02	6.06e-06	76	80
Liver cancer	Alzheimer's disease	Gene Ontology	collagen trimer	down-up	-1.91	2.39	3.85e-03	7.14e-06	54	55
Liver cancer	Alzheimer's disease	Gene Ontology	positive regulation of tyrosine phosphorylation of stat protein	down-up	-1.89	2.38	3.59e-03	8.06e-06	52	55
Liver cancer	Alzheimer's disease	Gene Ontology	positive regulation of mapk cascade	down-up	-1.4	1.65	3.53e-03	1.08e-05	398	437
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of body fluid levels	down-up	-1.56	1.66	1.34e-04	1.46e-05	385	419
Liver cancer	Alzheimer's disease	Gene Ontology	cytokine secretion	down-up	-1.46	1.94	4.14e-02	1.82e-05	156	175
Liver cancer	Alzheimer's disease	Gene Ontology	immune effector process	down-up	-1.34	1.43	4.59e-04	2.07e-05	842	924
Liver cancer	Alzheimer's disease	Gene Ontology	positive regulation of leukocyte proliferation	down-up	-1.75	2.12	5.76e-03	2.09e-05	100	109
Liver cancer	Alzheimer's disease	Gene Ontology	golgi lumen	down-up	-1.76	2.2	8.29e-03	2.28e-05	72	76
Liver cancer	Alzheimer's disease	Gene Ontology	positive regulation of immune response	down-up	-1.33	1.54	1.08e-02	2.32e-05	555	609
Liver cancer	Alzheimer's disease	Gene Ontology	cell chemotaxis	down-up	-1.53	1.81	6.28e-03	2.70e-05	224	246
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of phagocytosis	down-up	-1.65	2.18	2.70e-02	2.99e-05	72	79
Liver cancer	Alzheimer's disease	Gene Ontology	multicellular organismal homeostasis	down-up	-1.41	1.65	4.44e-03	3.17e-05	362	388
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of leukocyte mediated immunity	down-up	-1.95	1.91	7.41e-05	3.95e-05	149	161
Liver cancer	Alzheimer's disease	Gene Ontology	negative regulation of leukocyte cell cell adhesion	down-up	-1.57	2.11	4.74e-02	4.28e-05	85	99
Liver cancer	Alzheimer's disease	Gene Ontology	granulocyte migration	down-up	-1.56	2.01	2.84e-02	4.55e-05	108	119
Liver cancer	Alzheimer's disease	Gene Ontology	positive regulation of t cell proliferation	down-up	-1.96	2.13	9.53e-04	4.59e-05	69	75
Liver cancer	Alzheimer's disease	Gene Ontology	negative regulation of cell cell adhesion	down-up	-1.63	1.96	1.61e-02	4.82e-05	123	140
Liver cancer	Alzheimer's disease	Gene Ontology	coagulation	down-up	-1.48	1.72	6.92e-03	5.27e-05	258	285
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of response to external stimulus	down-up	-1.23	1.45	1.74e-02	5.45e-05	782	845
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of inflammatory response	down-up	-1.58	1.77	1.54e-03	8.09e-05	239	256
Liver cancer	Alzheimer's disease	Gene Ontology	erk1 and erk2 cascade	down-up	-1.66	1.76	1.16e-03	8.79e-05	226	245
Liver cancer	Alzheimer's disease	Gene Ontology	lymphocyte mediated immunity	down-up	-2.09	1.81	6.84e-07	9.19e-05	183	200
Liver cancer	Alzheimer's disease	Gene Ontology	negative regulation of cell population proliferation	down-up	-1.25	1.49	2.57e-02	9.24e-05	542	580
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of sterol transport	down-up	-2.08	2.34	2.46e-03	1.02e-04	31	34
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of alpha beta t cell activation	down-up	-1.75	2.11	1.72e-02	1.24e-04	64	71
Liver cancer	Alzheimer's disease	Gene Ontology	cellular defense response	down-up	-1.68	2.25	4.41e-02	1.27e-04	41	45
Liver cancer	Alzheimer's disease	Gene Ontology	scavenger receptor activity	down-up	-2.02	2.32	3.20e-03	1.30e-04	33	36
Liver cancer	Alzheimer's disease	Gene Ontology	b cell proliferation	down-up	-1.55	2.07	4.54e-02	1.32e-04	67	75
Liver cancer	Alzheimer's disease	Gene Ontology	complement activation	down-up	-3.07	2.18	6.69e-09	1.43e-04	54	60
Liver cancer	Alzheimer's disease	Gene Ontology	sensory perception of light stimulus	down-up	-1.66	1.87	5.07e-03	1.55e-04	149	156
Liver cancer	Alzheimer's disease	Gene Ontology	taxis	down-up	-1.47	1.5	6.70e-04	1.96e-04	478	516
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of humoral immune response	down-up	-2.52	2.14	4.73e-07	2.24e-04	53	60
Liver cancer	Alzheimer's disease	Gene Ontology	phagocytosis	down-up	-1.42	1.72	2.79e-02	2.79e-04	195	214
Liver cancer	Alzheimer's disease	Gene Ontology	peptide receptor activity	down-up	-2.29	1.96	1.18e-06	2.86e-04	117	122
Liver cancer	Alzheimer's disease	Gene Ontology	tyrosine phosphorylation of stat protein	down-up	-1.64	2	3.58e-02	3.22e-04	63	66
Liver cancer	Alzheimer's disease	Gene Ontology	cytolysis	down-up	-2.17	2.27	1.42e-03	3.27e-04	30	33
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of wound healing	down-up	-1.67	1.89	9.41e-03	3.70e-04	117	124
Liver cancer	Alzheimer's disease	Gene Ontology	myeloid leukocyte migration	down-up	-1.52	1.75	1.53e-02	3.93e-04	160	175
Liver cancer	Alzheimer's disease	Gene Ontology	cornification	down-up	-1.66	2.05	1.68e-02	4.56e-04	57	73
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of adaptive immune response	down-up	-1.74	1.88	1.81e-03	4.85e-04	120	129
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of cell killing	down-up	-2.03	1.96	7.36e-04	4.95e-04	66	75
Liver cancer	Alzheimer's disease	Gene Ontology	cell killing	down-up	-1.93	1.85	5.65e-04	5.23e-04	108	125
Liver cancer	Alzheimer's disease	Gene Ontology	b cell receptor signaling pathway	down-up	-2.25	2.12	2.80e-04	5.33e-04	42	43
Liver cancer	Alzheimer's disease	Gene Ontology	blood microparticle	down-up	-2.61	1.98	8.88e-09	6.32e-04	78	85
Liver cancer	Alzheimer's disease	Gene Ontology	cardiac chamber morphogenesis	down-up	-1.55	1.88	3.58e-02	6.67e-04	107	114
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of lymphocyte mediated immunity	down-up	-1.98	1.83	1.91e-04	6.72e-04	106	115
Liver cancer	Alzheimer's disease	Gene Ontology	cd4 positive alpha beta t cell activation	down-up	-1.77	1.96	5.57e-03	6.77e-04	65	70
Liver cancer	Alzheimer's disease	Gene Ontology	endoplasmic reticulum lumen	down-up	-1.46	1.63	9.09e-03	6.82e-04	240	246
Liver cancer	Alzheimer's disease	Gene Ontology	positive regulation of peptidyl tyrosine phosphorylation	down-up	-1.53	1.79	2.27e-02	6.97e-04	149	159
Liver cancer	Alzheimer's disease	Gene Ontology	activation of immune response	down-up	-1.35	1.49	1.33e-02	6.97e-04	436	475
Liver cancer	Alzheimer's disease	Gene Ontology	t cell selection	down-up	-1.78	2.14	2.86e-02	7.13e-04	39	41
Liver cancer	Alzheimer's disease	Gene Ontology	muscle system process	down-up	-1.41	1.54	6.62e-03	7.21e-04	346	374
Liver cancer	Alzheimer's disease	Gene Ontology	interferon gamma production	down-up	-1.82	1.9	4.58e-03	7.57e-04	81	87
Liver cancer	Alzheimer's disease	Gene Ontology	peptidyl tyrosine modification	down-up	-1.53	1.64	2.70e-03	7.98e-04	281	308
Liver cancer	Alzheimer's disease	Gene Ontology	b cell mediated immunity	down-up	-1.98	1.92	3.44e-04	9.14e-04	88	97
Liver cancer	Alzheimer's disease	Gene Ontology	positive regulation of erk1 and erk2 cascade	down-up	-1.75	1.75	1.73e-03	9.19e-04	154	168
Liver cancer	Alzheimer's disease	Gene Ontology	sterol transport	down-up	-2.17	1.97	6.78e-05	9.22e-04	57	65
Liver cancer	Alzheimer's disease	Gene Ontology	complement activation alternative pathway	down-up	-2.25	2.16	2.63e-04	9.72e-04	12	14
Liver cancer	Alzheimer's disease	Gene Ontology	circulatory system process	down-up	-1.73	1.47	5.06e-07	9.98e-04	434	462
Liver cancer	Alzheimer's disease	Gene Ontology	positive t cell selection	down-up	-1.76	2.23	3.22e-02	1.02e-03	27	29
Liver cancer	Alzheimer's disease	Gene Ontology	endocrine process	down-up	-1.58	1.89	4.49e-02	1.17e-03	71	75
Liver cancer	Alzheimer's disease	Gene Ontology	olfactory receptor activity	down-up	-2.44	2.14	1.56e-05	1.23e-03	32	36
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of antigen receptor mediated signaling pathway	down-up	-1.66	2.06	3.92e-02	1.29e-03	43	49
Liver cancer	Alzheimer's disease	Gene Ontology	sensory perception	down-up	-1.94	1.47	6.69e-09	1.34e-03	406	429
Liver cancer	Alzheimer's disease	Gene Ontology	leukocyte chemotaxis	down-up	-1.5	1.63	1.90e-02	1.63e-03	169	185
Liver cancer	Alzheimer's disease	Gene Ontology	sensory perception of chemical stimulus	down-up	-2.21	1.88	9.78e-06	1.63e-03	84	93
Liver cancer	Alzheimer's disease	Gene Ontology	cd4 positive alpha beta t cell differentiation	down-up	-1.61	2.01	3.37e-02	1.82e-03	55	58
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of mapk cascade	down-up	-1.36	1.4	2.74e-03	1.88e-03	547	594
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of leukocyte mediated cytotoxicity	down-up	-2.01	1.97	1.01e-03	1.92e-03	52	57
Liver cancer	Alzheimer's disease	Gene Ontology	inositol lipid mediated signaling	down-up	-1.54	1.69	1.67e-02	1.98e-03	151	162
Liver cancer	Alzheimer's disease	Gene Ontology	immunoglobulin binding	down-up	-1.95	2.16	1.07e-02	2.14e-03	16	19
Liver cancer	Alzheimer's disease	Gene Ontology	excretion	down-up	-1.9	1.95	3.63e-03	2.30e-03	55	55
Liver cancer	Alzheimer's disease	Gene Ontology	protein kinase b signaling	down-up	-1.5	1.66	1.78e-02	2.33e-03	193	212
Liver cancer	Alzheimer's disease	Gene Ontology	lipid homeostasis	down-up	-2.13	1.83	3.04e-05	2.34e-03	94	102
Liver cancer	Alzheimer's disease	Gene Ontology	positive regulation of immune effector process	down-up	-1.53	1.63	2.05e-02	2.35e-03	158	175
Liver cancer	Alzheimer's disease	Gene Ontology	lipid binding	down-up	-1.52	1.39	1.66e-04	2.35e-03	501	530
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of coagulation	down-up	-1.86	1.82	3.27e-03	2.35e-03	70	74
Liver cancer	Alzheimer's disease	Gene Ontology	response to steroid hormone	down-up	-1.28	1.52	4.27e-02	2.36e-03	314	335
Liver cancer	Alzheimer's disease	Gene Ontology	negative regulation of leukocyte mediated immunity	down-up	-2.12	2.07	1.48e-03	2.41e-03	32	40
Liver cancer	Alzheimer's disease	Gene Ontology	muscle contraction	down-up	-1.34	1.55	3.39e-02	2.42e-03	275	299
Liver cancer	Alzheimer's disease	Gene Ontology	carreceptor activity	down-up	-2.11	1.96	1.89e-04	2.44e-03	57	60
Liver cancer	Alzheimer's disease	Gene Ontology	humoral immune response mediated by circulating immunoglobulin	down-up	-2.69	2.03	8.69e-08	2.53e-03	37	41
Liver cancer	Alzheimer's disease	Gene Ontology	g protein coupled chemoattractant receptor activity	down-up	-1.8	2.12	3.48e-02	2.56e-03	22	24
Liver cancer	Alzheimer's disease	Gene Ontology	fat soluble vitamin metabolic process	down-up	-1.74	2.07	2.96e-02	2.59e-03	35	40
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of systemic arterial blood pressure	down-up	-1.83	1.85	3.25e-03	2.85e-03	80	85
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of lipid localization	down-up	-1.61	1.76	1.51e-02	2.95e-03	105	112
Liver cancer	Alzheimer's disease	Gene Ontology	aminoglycan catabolic process	down-up	-1.75	1.92	1.30e-02	2.96e-03	52	55
Liver cancer	Alzheimer's disease	Gene Ontology	protein tyrosine kinase activity	down-up	-1.73	1.74	4.56e-03	3.10e-03	105	121
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of phosphatidylinositol 3 kinase signaling	down-up	-1.53	1.76	4.41e-02	3.38e-03	100	109
Liver cancer	Alzheimer's disease	Gene Ontology	steroid hormone receptor activity	down-up	-1.69	1.95	2.83e-02	3.47e-03	48	52
Liver cancer	Alzheimer's disease	Gene Ontology	positive regulation of cell killing	down-up	-1.69	1.95	2.35e-02	3.53e-03	50	52
Liver cancer	Alzheimer's disease	Gene Ontology	hydrolase activity acting on acid phosphorus nitrogen bonds	down-up	-2.28	1.76	9.53e-07	3.53e-03	114	130
Liver cancer	Alzheimer's disease	Gene Ontology	lipid localization	down-up	-1.84	1.51	4.76e-06	3.56e-03	274	295
Liver cancer	Alzheimer's disease	Gene Ontology	leukocyte mediated immunity	down-up	-1.38	1.33	1.38e-03	3.74e-03	565	622
Liver cancer	Alzheimer's disease	Gene Ontology	apical plasma membrane	down-up	-1.55	1.55	4.35e-03	3.99e-03	242	256
Liver cancer	Alzheimer's disease	Gene Ontology	macrophage activation	down-up	-1.76	1.82	1.59e-02	4.41e-03	64	72
Liver cancer	Alzheimer's disease	Gene Ontology	positive regulation of cholesterol efflux	down-up	-1.74	2.02	4.74e-02	4.52e-03	15	14
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of peptidyl tyrosine phosphorylation	down-up	-1.35	1.55	4.74e-02	4.57e-03	195	209
Liver cancer	Alzheimer's disease	Gene Ontology	sodium ion homeostasis	down-up	-1.69	1.93	2.88e-02	4.66e-03	45	49
Liver cancer	Alzheimer's disease	Gene Ontology	positive regulation of inflammatory response	down-up	-1.65	1.71	1.93e-02	4.73e-03	102	112
Liver cancer	Alzheimer's disease	Gene Ontology	positive regulation of sterol transport	down-up	-1.94	2.1	1.74e-02	4.78e-03	19	20
Liver cancer	Alzheimer's disease	Gene Ontology	negative regulation of lymphocyte mediated immunity	down-up	-1.83	2	2.82e-02	5.06e-03	23	31
Liver cancer	Alzheimer's disease	Gene Ontology	plasma membrane signaling receptor complex	down-up	-1.71	1.61	2.29e-03	5.64e-03	148	150
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of lipid transport	down-up	-1.66	1.74	1.75e-02	6.10e-03	83	89
Liver cancer	Alzheimer's disease	Gene Ontology	antigen binding	down-up	-2.06	1.92	2.89e-03	6.47e-03	31	38
Liver cancer	Alzheimer's disease	Gene Ontology	fluid transport	down-up	-1.69	2	4.53e-02	6.55e-03	20	22
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of cytosolic calcium ion concentration	down-up	-1.71	1.49	4.13e-05	6.56e-03	289	304
Liver cancer	Alzheimer's disease	Gene Ontology	regulation of cd4 positive alpha beta t cell activation	down-up	-1.71	1.93	3.80e-02	6.73e-03	41	46
Liver cancer	Alzheimer's disease	Gene Ontology	t cell mediated immunity	down-up	-1.8	1.69	4.28e-03	7.07e-03	80	87
Liver cancer	Alzheimer's disease	Gene Ontology	g protein coupled receptor signaling pathway	down-up	-2.1	1.3	6.69e-09	7.10e-03	692	726
