disease.1	disease.2	category	pathway	overlap	nes.1	nes.2	fdr.1	fdr.2	genes.1	ngenes.2
Lung cancer	Parkinson's disease	Gene Ontology	defense response to other organism	down-up	-1.52	1.38	8.76e-06	3.43e-04	839	804
Lung cancer	Parkinson's disease	Gene Ontology	negative regulation of cell activation	down-up	-1.98	1.84	9.09e-06	4.05e-04	160	159
Lung cancer	Parkinson's disease	Gene Ontology	lymphocyte mediated immunity	down-up	-1.81	1.7	1.43e-04	4.22e-04	207	199
Lung cancer	Parkinson's disease	Gene Ontology	regulation of inflammatory response	down-up	-1.84	1.66	3.92e-06	4.44e-04	279	256
Lung cancer	Parkinson's disease	Gene Ontology	mononuclear cell differentiation	down-up	-1.7	2.23	4.18e-02	4.92e-04	32	30
Lung cancer	Parkinson's disease	Gene Ontology	endothelium development	down-up	-2.62	1.84	8.56e-09	6.89e-04	105	105
Lung cancer	Parkinson's disease	Gene Ontology	lymphocyte activation involved in immune response	down-up	-1.6	1.79	7.13e-03	7.45e-04	144	133
Lung cancer	Parkinson's disease	Gene Ontology	negative regulation of cell adhesion	down-up	-1.72	1.61	2.60e-04	7.46e-04	228	229
Lung cancer	Parkinson's disease	Gene Ontology	myeloid leukocyte differentiation	down-up	-1.72	1.71	1.00e-03	7.53e-04	180	168
Lung cancer	Parkinson's disease	Gene Ontology	positive regulation of hemopoiesis	down-up	-1.81	1.75	6.52e-04	8.00e-04	155	156
Lung cancer	Parkinson's disease	Gene Ontology	cell chemotaxis	down-up	-1.91	1.63	1.08e-06	8.43e-04	241	244
Lung cancer	Parkinson's disease	Gene Ontology	regulation of cell cell adhesion	down-up	-1.72	1.53	1.13e-05	8.77e-04	343	332
Lung cancer	Parkinson's disease	Gene Ontology	regulation of phagocytosis	down-up	-2.03	1.98	3.19e-04	1.03e-03	78	79
Lung cancer	Parkinson's disease	Gene Ontology	cellular response to vascular endothelial growth factor stimulus	down-up	-2.18	2.11	1.55e-04	1.10e-03	50	46
Lung cancer	Parkinson's disease	Gene Ontology	epithelial cell development	down-up	-1.47	1.66	3.79e-02	1.22e-03	185	173
Lung cancer	Parkinson's disease	Gene Ontology	regulation of osteoblast differentiation	down-up	-1.56	1.85	3.22e-02	1.24e-03	105	94
Lung cancer	Parkinson's disease	Gene Ontology	interferon gamma mediated signaling pathway	down-up	-1.6	1.97	4.71e-02	1.25e-03	62	66
Lung cancer	Parkinson's disease	Gene Ontology	muscle organ development	down-up	-1.54	1.52	1.61e-03	1.28e-03	330	308
Lung cancer	Parkinson's disease	Gene Ontology	renal system development	down-up	-1.33	1.6	4.10e-02	1.29e-03	260	247
Lung cancer	Parkinson's disease	Gene Ontology	toll like receptor signaling pathway	down-up	-1.51	1.81	3.21e-02	1.41e-03	120	115
Lung cancer	Parkinson's disease	Gene Ontology	positive regulation of tumor necrosis factor superfamily cytokine production	down-up	-1.6	1.96	2.94e-02	1.41e-03	72	73
Lung cancer	Parkinson's disease	Gene Ontology	positive regulation of cell adhesion	down-up	-2.04	1.51	8.56e-09	1.52e-03	340	333
Lung cancer	Parkinson's disease	Gene Ontology	cytokine metabolic process	down-up	-1.77	1.84	2.29e-03	1.59e-03	104	100
Lung cancer	Parkinson's disease	Gene Ontology	wound healing	down-up	-1.87	1.43	8.56e-09	1.61e-03	464	461
Lung cancer	Parkinson's disease	Gene Ontology	cytokine secretion	down-up	-1.83	1.67	1.84e-04	1.63e-03	183	174
Lung cancer	Parkinson's disease	Gene Ontology	regulation of alpha beta t cell activation	down-up	-2.14	1.95	6.63e-05	1.67e-03	74	71
Lung cancer	Parkinson's disease	Gene Ontology	positive regulation of adaptive immune response	down-up	-1.9	1.86	7.87e-04	1.72e-03	88	83
Lung cancer	Parkinson's disease	Gene Ontology	regulation of endothelial cell migration	down-up	-2.3	1.72	1.88e-08	1.77e-03	139	133
Lung cancer	Parkinson's disease	Gene Ontology	regulation of cell death	down-up	-1.38	1.2	9.57e-06	2.00e-03	1355	1311
Lung cancer	Parkinson's disease	Gene Ontology	regulation of response to external stimulus	down-up	-1.7	1.3	8.56e-09	2.12e-03	886	844
Lung cancer	Parkinson's disease	Gene Ontology	positive regulation of cell differentiation	down-up	-1.74	1.3	8.56e-09	2.20e-03	831	792
Lung cancer	Parkinson's disease	Gene Ontology	innate immune response	down-up	-1.59	1.33	3.09e-06	2.24e-03	690	671
Lung cancer	Parkinson's disease	Gene Ontology	negative regulation of cytokine production	down-up	-1.78	1.59	7.71e-05	2.24e-03	221	220
Lung cancer	Parkinson's disease	Gene Ontology	negative regulation of leukocyte differentiation	down-up	-1.52	1.91	4.91e-02	2.36e-03	80	77
Lung cancer	Parkinson's disease	Gene Ontology	t cell proliferation	down-up	-1.63	1.68	3.72e-03	2.38e-03	158	154
Lung cancer	Parkinson's disease	Gene Ontology	urogenital system development	down-up	-1.33	1.54	4.95e-02	2.38e-03	292	282
Lung cancer	Parkinson's disease	Gene Ontology	negative regulation of cell differentiation	down-up	-1.47	1.4	2.81e-04	2.49e-03	589	539
Lung cancer	Parkinson's disease	Gene Ontology	myeloid leukocyte activation	down-up	-2.2	1.37	8.56e-09	2.54e-03	521	528
Lung cancer	Parkinson's disease	Gene Ontology	vascular endothelial growth factor signaling pathway	down-up	-1.75	2.08	3.84e-02	2.64e-03	33	30
Lung cancer	Parkinson's disease	Gene Ontology	myeloid leukocyte migration	down-up	-1.99	1.62	4.52e-06	2.79e-03	173	175
Lung cancer	Parkinson's disease	Gene Ontology	interleukin 8 production	down-up	-1.95	1.9	2.16e-03	2.81e-03	63	62
Lung cancer	Parkinson's disease	Gene Ontology	negative regulation of leukocyte cell cell adhesion	down-up	-1.57	1.78	3.03e-02	2.81e-03	95	99
Lung cancer	Parkinson's disease	Gene Ontology	adaptive thermogenesis	down-up	-1.95	1.64	3.63e-05	2.94e-03	140	137
Lung cancer	Parkinson's disease	Gene Ontology	regulation of response to cytokine stimulus	down-up	-1.6	1.71	1.11e-02	2.95e-03	139	138
Lung cancer	Parkinson's disease	Gene Ontology	endothelial cell migration	down-up	-2.34	1.6	8.56e-09	2.96e-03	176	173
Lung cancer	Parkinson's disease	Gene Ontology	secretory granule membrane	down-up	-2.14	1.59	8.56e-09	3.00e-03	236	223
Lung cancer	Parkinson's disease	Gene Ontology	alpha beta t cell activation	down-up	-2.23	1.79	1.28e-06	3.18e-03	114	106
Lung cancer	Parkinson's disease	Gene Ontology	t cell activation involved in immune response	down-up	-1.72	1.86	6.36e-03	3.27e-03	83	79
Lung cancer	Parkinson's disease	Gene Ontology	regulation of dna binding transcription factor activity	down-up	-1.57	1.46	2.25e-04	3.29e-03	362	336
Lung cancer	Parkinson's disease	Gene Ontology	leukocyte mediated immunity	down-up	-2.01	1.33	8.56e-09	3.53e-03	624	621
Lung cancer	Parkinson's disease	Gene Ontology	negative regulation of cell population proliferation	down-up	-1.55	1.36	3.03e-05	3.69e-03	591	579
Lung cancer	Parkinson's disease	Gene Ontology	positive regulation of cell cell adhesion	down-up	-1.63	1.55	1.30e-03	3.84e-03	221	217
Lung cancer	Parkinson's disease	Gene Ontology	positive regulation of inflammatory response	down-up	-1.74	1.74	4.50e-03	3.84e-03	115	112
Lung cancer	Parkinson's disease	Gene Ontology	regulation of alpha beta t cell differentiation	down-up	-1.71	1.89	2.21e-02	3.92e-03	55	51
Lung cancer	Parkinson's disease	Gene Ontology	negative regulation of immune effector process	down-up	-1.9	1.74	1.01e-03	4.06e-03	94	99
Lung cancer	Parkinson's disease	Gene Ontology	regulation of response to stress	down-up	-1.36	1.17	1.30e-04	4.27e-03	1223	1169
Lung cancer	Parkinson's disease	Gene Ontology	blood vessel endothelial cell migration	down-up	-2.46	1.7	8.56e-09	4.37e-03	103	101
Lung cancer	Parkinson's disease	Gene Ontology	response to wounding	down-up	-1.86	1.34	8.56e-09	4.68e-03	561	557
Lung cancer	Parkinson's disease	Gene Ontology	chemokine production	down-up	-1.94	1.84	1.75e-03	4.76e-03	73	75
Lung cancer	Parkinson's disease	Gene Ontology	activation of immune response	down-up	-1.67	1.38	2.48e-06	4.77e-03	480	473
Lung cancer	Parkinson's disease	Gene Ontology	cellular response to lipid	down-up	-1.71	1.37	2.95e-07	5.03e-03	509	508
Lung cancer	Parkinson's disease	Gene Ontology	negative regulation of immune response	down-up	-1.79	1.73	1.61e-03	5.14e-03	118	120
Lung cancer	Parkinson's disease	Gene Ontology	regulation of humoral immune response	down-up	-1.74	1.9	1.87e-02	5.14e-03	54	59
Lung cancer	Parkinson's disease	Gene Ontology	positive regulation of immune effector process	down-up	-2.09	1.58	2.59e-07	5.18e-03	171	175
Lung cancer	Parkinson's disease	Gene Ontology	epithelial cell apoptotic process	down-up	-2.05	1.81	8.94e-05	5.29e-03	89	90
Lung cancer	Parkinson's disease	Gene Ontology	interleukin 1 beta production	down-up	-2.28	1.83	1.13e-05	5.34e-03	72	67
Lung cancer	Parkinson's disease	Gene Ontology	apoptotic cell clearance	down-up	-1.83	1.99	1.95e-02	5.68e-03	39	36
Lung cancer	Parkinson's disease	Gene Ontology	granulocyte migration	down-up	-1.83	1.72	4.68e-04	5.72e-03	117	119
Lung cancer	Parkinson's disease	Gene Ontology	neutrophil migration	down-up	-1.8	1.74	2.57e-03	5.75e-03	96	97
Lung cancer	Parkinson's disease	Gene Ontology	positive regulation of small molecule metabolic process	down-up	-1.66	1.66	8.90e-03	6.08e-03	121	116
Lung cancer	Parkinson's disease	Gene Ontology	gliogenesis	down-up	-1.4	1.53	2.42e-02	6.78e-03	250	239
Lung cancer	Parkinson's disease	Gene Ontology	glomerulus development	down-up	-1.86	1.85	7.32e-03	7.23e-03	57	56
Lung cancer	Parkinson's disease	Gene Ontology	interleukin 1 production	down-up	-2.22	1.81	3.88e-06	7.50e-03	83	75
Lung cancer	Parkinson's disease	Gene Ontology	alpha beta t cell differentiation	down-up	-1.91	1.73	5.76e-04	7.51e-03	89	81
Lung cancer	Parkinson's disease	Gene Ontology	regulation of defense response	down-up	-1.65	1.33	1.91e-06	7.74e-03	612	577
Lung cancer	Parkinson's disease	Gene Ontology	signaling receptor binding	down-up	-1.48	1.15	5.39e-07	7.74e-03	1239	1183
Lung cancer	Parkinson's disease	Gene Ontology	cellular defense response	down-up	-1.81	1.9	1.81e-02	8.15e-03	42	45
Lung cancer	Parkinson's disease	Gene Ontology	negative regulation of cell death	down-up	-1.35	1.26	1.55e-03	8.16e-03	797	793
Lung cancer	Parkinson's disease	Gene Ontology	regulation of production of molecular mediator of immune response	down-up	-1.87	1.64	1.07e-03	8.41e-03	115	118
Lung cancer	Parkinson's disease	Gene Ontology	negative regulation of tumor necrosis factor superfamily cytokine production	down-up	-1.93	1.83	3.27e-03	8.49e-03	46	48
Lung cancer	Parkinson's disease	Gene Ontology	production of molecular mediator of immune response	down-up	-1.66	1.55	2.72e-03	8.72e-03	173	172
Lung cancer	Parkinson's disease	Gene Ontology	regulation of myeloid cell differentiation	down-up	-1.57	1.55	6.87e-03	8.89e-03	190	184
Lung cancer	Parkinson's disease	Gene Ontology	tertiary granule membrane	down-up	-2.06	1.85	5.29e-04	9.25e-03	56	59
Lung cancer	Parkinson's disease	Gene Ontology	regulation of cell differentiation	down-up	-1.52	1.16	8.56e-09	9.34e-03	1529	1406
Lung cancer	Parkinson's disease	Gene Ontology	positive regulation of leukocyte migration	down-up	-1.65	1.67	1.72e-02	1.00e-02	114	114
